passes	temp	wind	moon	habitat
5	14.2825542505777	5.22274063993245	0.346933534834534	Farmland
18	14.1467878157897	1.42534987349063	0.434931034222245	Farmland
27	18.3808956185174	3.05201054736972	0.363590337336063	Woodland
21	18.0514169424821	2.88671034760773	0.582341560395434	Woodland
50	21.8954541844381	1.24803405627608	0.723602837650105	Woodland
21	18.3558210582101	3.01980902021751	0.512962298933417	Farmland
15	16.1015224930203	2.11373658059165	0.818304211832583	Woodland
17	19.5978943237956	3.98036005860195	0.125523379771039	Farmland
8	15.856985165778	0.73096303967759	0.96065304079093	Urban
9	13.5776658381064	3.84783097403124	0.797933355439454	Woodland
7	16.9721797976834	2.00628421129659	0.585526399780065	Urban
2	14.3721570355641	4.64592809742317	0.637363557703793	Urban
2	11.9844731057199	5.95522189233452	0.161625468870625	Urban
42	14.6380947231645	1.6571254231967	0.000631376169621944	Woodland
1	13.6031569258271	5.20844177249819	0.41898298705928	Urban
3	14.3593074057903	3.91588078765199	0.136855440679938	Urban
20	18.0970619035635	4.84433772135526	0.377610215218738	Woodland
22	21.5300455942398	4.13634764542803	0.416915793437511	Farmland
34	14.896309981411	0.164129018783569	0.162117119878531	Farmland
9	18.6562405795067	2.40822798013687	0.571449559880421	Urban
9	17.7527663576152	4.21113020321354	0.354359487071633	Farmland
6	11.7213140426314	1.5628484277986	0.563866444164887	Urban
17	16.1300508237156	3.6330341999419	0.114375066477805	Farmland
5	14.6378765572749	3.46990427328274	0.63904836284928	Urban
6	12.5829699599209	5.43549100449309	0.812592952279374	Urban
21	12.7751337455718	0.261170695535839	0.234693785896525	Farmland
18	10.9665031360582	0.0142471860162914	0.143582243705168	Farmland
2	12.094819133553	5.95249379938468	0.632437799591571	Urban
30	19.8534688806635	0.31379892770201	0.548319032182917	Urban
6	12.5020258674915	2.0501931393519	0.797111652325839	Urban
20	11.1632681951844	0.986024457961321	0.312177420128137	Woodland
7	11.2826563843812	4.88213809160516	0.837927023414522	Farmland
1	10.5063296221374	5.99962173169479	0.996649493230507	Urban
18	15.1265341009694	1.47583270166069	0.260521373711526	Urban
11	15.545454113544	3.95249225059524	0.70478654303588	Woodland
41	18.8523138614928	0.0843604984693229	0.567295632092282	Woodland
33	18.3255823750494	2.35013621114194	0.315508271101862	Farmland
22	14.6690245278696	0.344406557735056	0.809766423190013	Farmland
6	13.4103303018338	3.57133981632069	0.771248126868159	Woodland
12	12.3997583449359	3.07399897975847	0.70060787233524	Woodland
12	15.1469167424138	3.56837901240215	0.29245543316938	Farmland
8	18.2186276184305	5.20846065273508	0.675116021186113	Woodland
8	14.179063628566	2.23476914595813	0.740930425468832	Woodland
16	18.7901573925905	4.65677318349481	0.473252475261688	Farmland
1	11.6410170159237	5.5151164024137	0.779192832065746	Farmland
7	12.0912080302407	2.90190301788971	0.838462044950575	Woodland
4	10.0765740118884	5.98256829706952	0.318948137806728	Woodland
6	18.0484603041726	5.57190351281315	0.152729210210964	Urban
19	17.2731636857848	2.66952309943736	0.966146509861574	Farmland
12	15.953639963285	1.12982624256983	0.274189013056457	Urban
16	16.8344559427351	1.81543944217265	0.632371927145869	Farmland
9	12.2052315387839	2.2605584920384	0.576607547933236	Woodland
1	11.9672908550424	4.01629077550024	0.347650991985574	Urban
29	16.869120084044	0.473111426923424	0.931847702711821	Farmland
13	13.2139721725288	0.231441265437752	0.055857592727989	Urban
3	9.68726418282574	4.93758250353858	0.493196432013065	Urban
2	12.7955857017228	5.35603628726676	0.672094706911594	Urban
16	16.1005328181093	3.56807943200693	0.376738976920024	Woodland
5	19.9962131409056	4.3368254089728	0.897529227891937	Urban
68	25.3639523047539	0.428370931651443	0.959121109684929	Farmland
15	14.467259237377	4.2050511832349	0.415780837880448	Woodland
8	18.1072434549482	5.08579153753817	0.408506999956444	Urban
6	12.9036144522647	2.78036529757082	0.172230155207217	Farmland
7	19.397495184695	2.91146277263761	0.263463752577081	Urban
23	19.6904576137759	2.52064713835716	0.870338555891067	Woodland
21	17.0033813357286	1.03494086209685	0.534977671923116	Farmland
21	15.4158154573446	2.12829510541633	0.883572731399909	Woodland
32	19.7211723037177	2.01546502439305	0.946319750510156	Woodland
14	13.7911257934388	4.8931926805526	0.146437246352434	Woodland
29	15.5376752878315	0.584869388490915	0.364004242001101	Woodland
2	13.7453985930778	4.32206582743675	0.330417816992849	Urban
