Lat	Migr	LayDate
50.83357428	Longdist	188.821769
53.04825949	Shortdist	185.354076
50.15876182	Longdist	150.0676234
53.11699742	Shortdist	202.3528344
50.42432672	Longdist	162.3018591
48.70122212	Shortdist	137.8764121
49.49259917	Longdist	158.0397489
49.12172107	Shortdist	156.636265
52.93771645	Longdist	192.8378327
51.57507957	Shortdist	142.3646627
54.52223089	Longdist	125.1558586
51.2083419	Shortdist	170.3374296
52.75978872	Longdist	179.0927585
54.1655855	Shortdist	135.484856
52.21968751	Longdist	179.4887422
51.33246904	Shortdist	177.3850249
53.26902536	Longdist	174.0001903
53.4152245	Shortdist	179.7910754
51.47991753	Longdist	169.3980575
49.09072449	Shortdist	143.9984724
50.64614689	Longdist	123.5821852
50.35858869	Shortdist	140.8274601
52.71062143	Longdist	143.1057064
49.31648371	Shortdist	163.0779013
51.38275075	Longdist	143.7251024
53.48835451	Shortdist	170.681004
49.23002656	Longdist	164.9056066
48.54129229	Shortdist	164.8455196
48.86095851	Longdist	152.6816303
50.30138009	Shortdist	154.9537385
50.17043438	Longdist	137.5266293
53.88646443	Shortdist	136.9598336
53.14305685	Longdist	177.7048681
50.69176837	Shortdist	140.7301621
52.20481826	Longdist	153.5950789
51.08664292	Shortdist	187.3782994
53.71825904	Longdist	181.4947482
54.46522019	Shortdist	201.2661807
53.32788841	Longdist	172.2419943
49.08835393	Shortdist	157.0380673
53.31826333	Longdist	188.8309957
54.85374015	Shortdist	179.7302461
54.44151127	Longdist	161.4126006
50.32278985	Shortdist	151.6467837
51.67648785	Longdist	171.7744675
52.85596409	Shortdist	171.8127308
53.36075923	Longdist	145.5269428
54.09974799	Shortdist	156.2318944
53.1032237	Longdist	164.1688912
52.52856725	Shortdist	140.8551709
53.86979465	Longdist	123.2643111
48.66999503	Shortdist	172.2367794
49.23197204	Longdist	151.4973947
49.83222705	Shortdist	134.4058729
51.62232571	Longdist	198.5850398
52.04909707	Shortdist	187.7813162
50.0325601	Longdist	144.8504961
52.95180208	Shortdist	159.0355372
50.05556988	Longdist	105.4293316
50.89637066	Shortdist	121.6827781
50.82221424	Longdist	127.9856565
48.65596271	Shortdist	96.48981464
50.03965461	Longdist	136.4947611
53.97935878	Shortdist	155.7318885
48.7412858	Longdist	171.6505074
49.20348011	Shortdist	124.1565492
53.69634807	Longdist	134.7820052
51.52514657	Shortdist	140.218461
49.44472739	Longdist	138.1477552
50.0797529	Shortdist	124.261458
52.13951746	Longdist	111.8353312
50.1551446	Shortdist	108.7299646
51.76469816	Longdist	110.5827907
48.82051197	Shortdist	141.46474
49.11861531	Longdist	187.309376
53.59797583	Shortdist	193.7864633
51.49934338	Longdist	139.8836184
50.22414329	Shortdist	97.47563929
50.44118015	Longdist	130.3701663
51.04157408	Shortdist	121.4001344
49.14716338	Longdist	143.0492315
53.08481947	Shortdist	134.2822
48.29237187	Longdist	164.0327542
48.74044108	Shortdist	139.4094737
48.38998859	Longdist	109.1420317
52.44219927	Shortdist	176.4065939
50.45119373	Longdist	173.0037752
52.91971235	Shortdist	157.075244
50.3412659	Longdist	148.5409915
48.90709057	Shortdist	174.7406048
49.10223947	Longdist	168.4269155
51.90426537	Shortdist	131.0707511
54.80676314	Longdist	177.6130395
50.5192873	Shortdist	195.550047
50.33284963	Longdist	160.6909392
52.51226356	Shortdist	132.7577005
53.91217443	Longdist	168.9097635
54.49608044	Shortdist	162.6976492
52.29201466	Longdist	172.7674461
51.81129403	Shortdist	169.5073169
53.84654585	Longdist	165.8958732
54.03804425	Shortdist	184.7232811
52.59981023	Longdist	160.1918367
54.93494678	Shortdist	205.2472686
50.35086915	Longdist	121.1431202
54.90132116	Shortdist	168.7572959
52.38239972	Longdist	142.6731421
51.16347177	Shortdist	154.8517464
51.75871837	Longdist	196.8116796
48.18603835	Shortdist	164.1415541
50.6680568	Longdist	110.5132727
51.17967285	Shortdist	153.1592427
51.99125067	Longdist	165.3052745
52.75789554	Shortdist	144.4723613
48.7975275	Longdist	171.2147685
53.02748956	Shortdist	204.7461668
51.18683239	Longdist	197.1799562
48.360051	Shortdist	132.0503306
53.63413504	Longdist	119.5597134
51.08173765	Shortdist	139.6466065
53.30947174	Longdist	170.1682457
52.87802092	Shortdist	154.6106719
53.24788735	Longdist	173.3381651
54.5114784	Shortdist	168.5504969
49.93031156	Longdist	183.1308821
53.30727858	Shortdist	166.7878761
53.35204291	Longdist	207.8743575
49.02351086	Shortdist	126.2704476
50.57741056	Longdist	138.7948876
50.75628533	Shortdist	124.9510922
54.8264422	Longdist	135.2915499
48.20743611	Shortdist	124.4804893
52.98979853	Longdist	130.0394543
49.82216618	Shortdist	159.8749428
51.55521808	Longdist	199.1333091
50.76588324	Shortdist	177.4676918
51.31481973	Longdist	174.5286513
