WaterContent	HerbivoreDamage	HerbivoreSpecies	VOC	Silica	
0.827948292	1.570853355	1.Sheep	94.46560954	90.16919945	
0.160804913	2.566197747	2.Vole	109.2189342	84.41107684	
0.77390557	1.036856428	3.RedDeer	86.57926669	76.98002628	
0.190750452	1.5134801	1.Sheep	90.99478566	82.05606036	
0.302446554	1.373253442	2.Vole	105.7068408	85.57862648	
0.978266591	1.574879715	3.RedDeer	91.07858415	84.59515909	
0.790551402	1.207220356	1.Sheep	90.29477446	85.05931729	
0.028415052	1.382861115	2.Vole	121.2413873	81.82314435	
0.269430848	1.000234359	3.RedDeer	92.67448193	70.47495156	
0.845563626	1.073092257	1.Sheep	95.34294509	81.63924199	
0.892189969	1.42082381	2.Vole	102.0021911	86.70014724	
0.206490796	1.042465324	3.RedDeer	90.97995324	75.87430427	
0.367645743	2.306856334	1.Sheep	90.85451842	83.63906957	
0.66879297	2.095644216	2.Vole	119.7384734	92.32126395	
0.884223189	1.334301869	3.RedDeer	99.64820561	81.01472523	
0.491410965	2.667966113	1.Sheep	97.77033732	82.28075651	
0.328767733	1.304093573	2.Vole	96.59468528	83.26399519	
0.039130545	1.799541478	3.RedDeer	85.20891545	78.62313591	
0.573822676	1.34702648	1.Sheep	100.3736768	76.45448512	
0.062267351	2.607736833	2.Vole	115.5972292	91.07947542	
0.004379176	2.640919163	3.RedDeer	91.93621206	83.08242888	
0.773542019	2.675577258	1.Sheep	93.09893572	85.57430199	
0.987656149	2.505713606	2.Vole	125.3198568	94.21068473	
0.264420554	2.130730093	3.RedDeer	100.133268	78.77295704	
0.53721969	1.255866648	1.Sheep	104.3222629	78.04320224	
0.045368682	2.023765383	2.Vole	128.5920067	79.26805771	
0.948161187	1.462233204	3.RedDeer	92.73612263	82.41995303	
0.445370178	1.515223999	1.Sheep	97.55770462	78.63514301	
0.304704394	2.408332841	2.Vole	122.4697323	87.69487343	
0.757771278	2.101647284	3.RedDeer	97.18151814	86.13669346	
0.254825624	1.858154031	1.Sheep	93.26680636	83.60039873	
0.026297515	1.003250863	2.Vole	79.54569013	73.48882117	
0.483970761	1.573390137	3.RedDeer	93.78766407	80.84593337	
0.979050318	2.423818211	1.Sheep	95.51562708	90.72736233	
0.4527589	1.609693451	2.Vole	101.7256074	83.43514552	
0.14141682	1.591663264	3.RedDeer	84.06353968	79.69424406	
0.492158552	2.532852619	1.Sheep	95.58520014	88.25240714	
0.479797047	1.760991692	2.Vole	106.7513831	87.78421519	
0.313597569	1.072169472	3.RedDeer	88.42208357	77.94857839	
0.341229428	1.714151581	1.Sheep	94.68331113	79.68940277	
0.074912836	1.280319685	2.Vole	90.52708748	84.84313915	
0.239576561	1.539145468	3.RedDeer	92.05700828	83.99820915	
0.557158509	1.968822947	1.Sheep	84.9471728	82.77092334	
0.382860102	2.379401456	2.Vole	117.1044838	86.81982422	
0.108492193	1.534165845	3.RedDeer	92.25559591	78.62742432	
0.139772898	1.492625904	1.Sheep	97.67577996	78.88383364	
0.039843833	1.131184745	2.Vole	113.6023504	76.8801258	
0.471530069	2.607789699	3.RedDeer	92.68186409	87.65931961	
0.485841999	1.932350445	1.Sheep	93.32461677	80.18043267	
0.877782424	1.447198784	2.Vole	102.8871672	86.55454792	
0.630068548	1.489027996	3.RedDeer	91.17793503	85.36766983	
0.290185972	1.21795953	1.Sheep	91.18432649	75.03992401	
0.942058142	1.484047706	2.Vole	107.2064611	83.08046471	
0.508222992	1.864572301	3.RedDeer	91.95519215	78.10261524	
0.142428844	1.759792345	1.Sheep	96.5963978	76.43201018	
0.447265821	1.003465593	2.Vole	95.27837209	85.06263358	
0.820241685	1.414802952	3.RedDeer	93.12298363	83.45655857	
0.075030333	1.869361686	1.Sheep	97.02456196	79.40767787	
0.275924112	1.033148275	2.Vole	82.67638661	82.45930057	
0.106081134	2.432605293	3.RedDeer	89.74916255	77.51027756	
0.985432187	1.063432391	1.Sheep	93.35093596	83.23058569	
0.688611958	1.112439821	2.Vole	88.91291849	85.21308172	
0.247059174	1.321618342	3.RedDeer	93.75857028	81.74790061	
0.325919244	1.226652106	1.Sheep	88.70998919	78.40607584	
0.773390474	1.217827456	2.Vole	87.70381979	88.28930976	
0.910536633	1.262917053	3.RedDeer	89.31777877	82.87072151	
0.835066706	2.185426816	1.Sheep	103.3567491	85.03346293	
0.950436571	1.080106537	2.Vole	96.13506651	86.92747731	
0.103030066	1.628903507	3.RedDeer	95.13508339	74.87528043	
0.584179415	1.05930314	1.Sheep	95.53814668	79.5782212	
0.390728269	1.075454808	2.Vole	111.3189245	81.27109673	
0.216206876	1.694745382	3.RedDeer	91.94313769	83.20152659	
0.424890174	1.71148257	1.Sheep	95.53670714	84.87147653	
0.762410007	2.105801057	2.Vole	105.0320923	88.54490218	
0.350479981	2.309511626	3.RedDeer	91.80288841	78.38282004	
0.504496176	1.478071872	1.Sheep	94.44605887	78.62709609	
0.770528368	1.316992138	2.Vole	100.2136852	84.26892385	
0.368484261	1.30608625	3.RedDeer	94.44779928	79.14353541	
0.121335147	1.698618047	1.Sheep	101.0208335	80.24212907	
0.847793021	2.102558876	2.Vole	111.0817802	95.37429849	
0.747785955	2.680504719	3.RedDeer	94.1951375	94.5962765	
0.262568837	2.46672939	1.Sheep	94.30780409	84.15642727	
0.642905864	2.196137199	2.Vole	124.3112211	89.04518319	
0.331653792	1.881617106	3.RedDeer	92.86907649	74.22768346	
0.303296428	1.343077156	1.Sheep	91.7428251	83.20826984	
0.472268109	1.906848451	2.Vole	113.2019518	91.15664286	
0.673849614	1.056178393	3.RedDeer	93.93931664	76.54933824	
0.919975921	1.934797187	1.Sheep	96.50029224	87.01284722	
0.425547925	1.261467221	2.Vole	109.0746141	79.53539788	
0.88472386	1.391730407	3.RedDeer	90.78362178	78.61047109	
0.909725952	1.43478835	1.Sheep	91.17613831	81.55941426	
0.832458034	1.082432849	2.Vole	112.9398845	86.85699156	
0.792812603	1.176107551	3.RedDeer	92.69448162	82.03192383	
0.811914684	2.420701379	1.Sheep	95.3129336	87.1526615	
0.532756862	1.261545382	2.Vole	95.91513232	87.81085335	
0.955871647	1.85161539	3.RedDeer	89.79517267	85.22161638	
0.25756755	2.530922196	1.Sheep	93.97104549	87.15817731	
0.87425442	2.503812009	2.Vole	116.5810032	99.14294349	
0.766205973	2.633882924	3.RedDeer	97.68403338	87.76893323	
0.159474878	2.282101336	1.Sheep	93.01344294	83.52488118	
0.454746457	1.651023024	2.Vole	104.0754416	85.80307487	
0.166473977	1.479499873	3.RedDeer	92.6768881	78.25974299	
0.383958435	1.093638865	1.Sheep	93.97339003	78.40332163	
0.009561066	1.104361644	2.Vole	108.2880838	75.56111583	
0.838709644	1.750896796	3.RedDeer	94.32037285	82.70026985	
0.161208538	1.82014138	1.Sheep	96.06925907	79.80411827	
0.219130895	1.847984106	2.Vole	109.3538085	90.54151531	
0.130224697	1.756258038	3.RedDeer	86.41570514	79.81358164	
0.608686901	1.570289664	1.Sheep	94.55344315	82.82244134	
0.425489405	2.581194775	2.Vole	106.2459522	92.28766051	
0.659383669	1.732905247	3.RedDeer	94.81325076	78.17252601	
0.652514105	2.344518553	1.Sheep	93.39008329	86.22972742	
0.729460838	1.245987862	2.Vole	95.93007328	87.43252438	
0.071430292	1.569186644	3.RedDeer	92.29810573	80.47509028	
0.82551029	1.168286529	1.Sheep	97.6438351	82.43186739	
0.61717103	2.655218007	2.Vole	111.7528402	87.60685465	
0.35660749	2.300687258	3.RedDeer	94.16557793	81.47847091	
0.790493579	1.590454309	1.Sheep	95.44969317	86.48249629	
0.770464293	1.39937854	2.Vole	115.7026234	83.73337899	
0.699641895	2.272442771	3.RedDeer	96.85955525	85.69582792	
0.888489267	1.224848956	1.Sheep	98.5773571	79.89930628	
0.409109237	2.103237429	2.Vole	109.6503438	86.5398937	
0.735369475	2.507376374	3.RedDeer	97.99515389	90.17388653	
0.250766897	2.422530063	1.Sheep	92.43478727	82.12920913	
0.701162288	1.659949626	2.Vole	127.2826532	86.13152658	
0.246124418	1.938530061	3.RedDeer	87.08896491	80.16551612	
0.318372284	2.63178528	1.Sheep	103.1155589	84.3168497	
0.67164302	1.226042134	2.Vole	97.44058332	88.90253057	
0.794949289	1.279218776	3.RedDeer	92.17073599	77.52128307	
0.202054984	1.430186211	1.Sheep	92.14564017	80.16591057	
0.334402647	1.511998839	2.Vole	99.05466778	83.21982243	
0.629768083	1.725487432	3.RedDeer	94.09945922	87.30216647	
0.443285701	2.122443337	1.Sheep	95.80586907	78.64983986	
0.722706864	1.24553898	2.Vole	102.3209744	83.38244901	
0.922018859	2.013563306	3.RedDeer	93.70526547	83.81715812	
0.826843398	2.625627182	1.Sheep	98.1486954	91.01982535	
0.686918274	1.702503951	2.Vole	123.5474319	91.33150653	
0.647436175	1.284680782	3.RedDeer	96.01499522	81.4198345	
0.726892476	1.684463275	1.Sheep	101.8076541	84.37129673	
0.226325175	2.035430773	2.Vole	112.1098754	90.62906337	
0.583491155	1.259207344	3.RedDeer	91.53755181	76.3818884	
0.699078357	1.814393976	1.Sheep	96.42264674	80.90790449	
0.486717995	2.300410265	2.Vole	125.0710986	91.25967452	
0.26802991	2.035517564	3.RedDeer	93.91634354	78.86301971	
0.97857643	2.310624121	1.Sheep	96.91741039	89.28610928	
0.061214596	2.021696776	2.Vole	101.1236439	86.60144872	
0.355398188	1.775858096	3.RedDeer	86.17674511	88.98008114	
0.007368746	1.559259526	1.Sheep	97.96609164	78.80799898	
0.057255884	1.835960763	2.Vole	122.096319	84.89804188	
0.04365306	1.4309549	3.RedDeer	87.81346183	78.60240595	
